,Depth_from,Depth_to,Value
Saturation,,,
Clay_fraction,0.1,0.1,23.77
Organic_carbon,0.1,0.1,1.69
Sand_fraction,0.1,0.1,12.66
Silt_fraction,0.1,0.1,63.57
Landcover_classification,0.1,0.1,Redeveloped Rice Paddy
Climate_classification,0.1,0.1,Cfa
Climate_classification,0.1,0.1,Cfa
Soil_texture,0.1,0.1,SiL
Total_carbon,0.1,0.1,2.16
Organic_matter,0.1,0.1,2.92
