,Depth_from,Depth_to,Value
Saturation,,,
Clay_fraction,0.1,0.1,19.27
Organic_carbon,0.1,0.1,1.05
Sand_fraction,0.1,0.1,15.92
Silt_fraction,0.1,0.1,64.81
Landcover_classification,0.1,0.1,Redeveloped Rice Paddy
Climate_classification,0.1,0.1,Cfa
Climate_classification,0.1,0.1,Cfa
Soil_texture,0.1,0.1,SiL
Total_carbon,0.1,0.1,1.34
Organic_matter,0.1,0.1,1.81
