,Depth_from,Depth_to,Value
Saturation,,,
Clay_fraction,0.2,0.2,12.53
Organic_carbon,0.2,0.2,1.12
Sand_fraction,0.2,0.2,43.7
Silt_fraction,0.2,0.2,43.77
Landcover_classification,0.2,0.2,Redeveloped Rice Paddy
Climate_classification,0.2,0.2,Cfa
Climate_classification,0.2,0.2,Cfa
Soil_texture,0.2,0.2,L
Total_carbon,0.2,0.2,1.43
Organic_matter,0.2,0.2,1.93
