,Depth_from,Depth_to,Value
Saturation,,,
Clay_fraction,0.2,0.2,9.64
Organic_carbon,0.2,0.2,0.85
Sand_fraction,0.2,0.2,13.66
Silt_fraction,0.2,0.2,76.7
Landcover_classification,0.2,0.2,Redeveloped Rice Paddy
Climate_classification,0.2,0.2,Cfa
Climate_classification,0.2,0.2,Cfa
Soil_texture,0.2,0.2,SiL
Total_carbon,0.2,0.2,1.09
Organic_matter,0.2,0.2,1.47
