,Depth_from,Depth_to,Value
Saturation,,,
Clay_fraction,0.2,0.2,15.42
Organic_carbon,0.2,0.2,1.72
Sand_fraction,0.2,0.2,34.74
Silt_fraction,0.2,0.2,49.84
Landcover_classification,0.2,0.2,Redeveloped Rice Paddy
Climate_classification,0.2,0.2,Cfa
Climate_classification,0.2,0.2,Cfa
Soil_texture,0.2,0.2,L
Total_carbon,0.2,0.2,2.19
Organic_matter,0.2,0.2,2.96
