,Depth_from,Depth_to,Value
Saturation,,,
Clay_fraction,0.2,0.2,26.66
Organic_carbon,0.2,0.2,0.92
Sand_fraction,0.2,0.2,15.52
Silt_fraction,0.2,0.2,57.82
Landcover_classification,0.2,0.2,Redeveloped Rice Paddy
Climate_classification,0.2,0.2,Cfa
Climate_classification,0.2,0.2,Cfa
Soil_texture,0.2,0.2,SiL
Total_carbon,0.2,0.2,1.17
Organic_matter,0.2,0.2,1.59
