time,soil_moisture_10cm,soil_temperature_10cm,soil_moisture_20cm,soil_temperature_20cm,precipitation
2025-10-16 08:00:00,0.422,23.8,0.39,23.4,0
2025-10-16 09:00:00,0.422,23.3,0.391,23.4,0
2025-10-16 10:00:00,0.423,22.7,0.392,23.1,0
2025-10-16 11:00:00,0.424,22.1,0.392,22.8,0
2025-10-16 12:00:00,0.424,21.7,0.392,22.5,0
2025-10-16 13:00:00,0.424,21.4,0.393,22.2,0
2025-10-16 14:00:00,0.425,21.1,0.393,22,0
2025-10-16 15:00:00,0.425,20.7,0.393,21.7,0
2025-10-16 16:00:00,0.425,20.4,0.393,21.4,0
2025-10-16 17:00:00,0.425,20.1,0.394,21.2,0
2025-10-16 18:00:00,0.425,19.9,0.394,20.9,0
2025-10-16 19:00:00,0.425,19.7,0.394,20.7,0
2025-10-16 20:00:00,0.425,19.5,0.395,20.5,0
2025-10-16 21:00:00,0.425,19.3,0.395,20.3,0
2025-10-16 22:00:00,0.425,19.4,0.395,20.2,0
2025-10-16 23:00:00,0.424,19.5,0.395,20.1,0
2025-10-17 00:00:00,0.424,20.1,0.395,20.2,0
2025-10-17 01:00:00,0.423,21.1,0.395,20.5,0
2025-10-17 02:00:00,0.422,21.9,0.393,21.1,0
2025-10-17 03:00:00,0.421,22.6,0.393,21.6,0
2025-10-17 04:00:00,0.42,23,0.392,22.1,0
2025-10-17 05:00:00,0.42,23.3,0.391,22.5,0
2025-10-17 06:00:00,0.42,23.4,0.391,22.8,0
2025-10-17 07:00:00,0.42,23.1,0.391,22.9,1
2025-10-17 08:00:00,0.421,22.6,0.398,22.9,3
2025-10-17 09:00:00,0.422,22.3,0.4,22.7,0.5
2025-10-17 10:00:00,0.422,22.1,0.401,22.5,0
2025-10-17 11:00:00,0.422,21.9,0.401,22.3,0
2025-10-17 12:00:00,0.422,21.7,0.402,22.1,0
2025-10-17 13:00:00,0.423,21.5,0.402,22,0
2025-10-17 14:00:00,0.423,21.4,0.402,21.8,0
2025-10-17 15:00:00,0.423,21.3,0.403,21.7,0
2025-10-17 16:00:00,0.423,21.2,0.403,21.6,0
2025-10-17 17:00:00,0.423,21.2,0.403,21.5,0
2025-10-17 18:00:00,0.423,21.2,0.404,21.5,0
2025-10-17 19:00:00,0.423,21.2,0.404,21.5,0
2025-10-17 20:00:00,0.423,21.2,0.404,21.4,0.5
2025-10-17 21:00:00,0.423,21.2,0.404,21.4,0.5
2025-10-17 22:00:00,0.423,21.1,0.404,21.4,0
2025-10-17 23:00:00,0.423,21,0.405,21.3,0
2025-10-18 00:00:00,0.423,20.9,0.406,21.2,0.5
2025-10-18 01:00:00,0.423,20.9,0.407,21.2,0
2025-10-18 02:00:00,0.423,21,0.407,21.2,0
2025-10-18 03:00:00,0.423,21.4,0.407,21.3,0
2025-10-18 04:00:00,0.423,21.4,0.407,21.5,0
2025-10-18 05:00:00,0.423,21.4,0.407,21.5,0
2025-10-18 06:00:00,0.423,21.4,0.407,21.6,0
2025-10-18 07:00:00,0.423,21.3,0.407,21.6,0
2025-10-18 08:00:00,0.423,20.9,0.407,21.5,0
2025-10-18 09:00:00,0.424,20.6,0.407,21.3,0
2025-10-18 10:00:00,0.424,20.2,0.408,21.1,0
2025-10-18 11:00:00,0.424,19.8,0.408,20.8,0
2025-10-18 12:00:00,0.423,19.6,0.408,20.6,0
2025-10-18 13:00:00,0.423,19.4,0.408,20.4,0
2025-10-18 14:00:00,0.423,19.3,0.409,20.2,0
2025-10-18 15:00:00,0.423,19.2,0.409,20.1,0
2025-10-18 16:00:00,0.423,19,0.409,19.9,0
2025-10-18 17:00:00,0.423,18.9,0.409,19.8,0
2025-10-18 18:00:00,0.424,18.7,0.409,19.6,0
2025-10-18 19:00:00,0.424,18.6,0.409,19.5,0
2025-10-18 20:00:00,0.424,18.6,0.409,19.4,0
2025-10-18 21:00:00,0.424,18.6,0.409,19.3,0
2025-10-18 22:00:00,0.424,18.5,0.409,19.2,0
2025-10-18 23:00:00,0.424,18.7,0.409,19.2,0
2025-10-19 00:00:00,0.424,19.2,0.407,19.3,0
2025-10-19 01:00:00,0.423,19.9,0.406,19.5,0
2025-10-19 02:00:00,0.422,20.7,0.404,19.9,0
2025-10-19 03:00:00,0.421,21.7,0.403,20.5,0
2025-10-19 04:00:00,0.419,22.3,0.401,21.1,0
2025-10-19 05:00:00,0.419,22.3,0.401,21.5,0
2025-10-19 06:00:00,0.419,22,0.4,21.7,0
2025-10-19 07:00:00,0.419,21.5,0.4,21.8,0
2025-10-19 08:00:00,0.419,20.9,0.4,21.6,0
2025-10-19 09:00:00,0.419,20.4,0.4,21.4,0
2025-10-19 10:00:00,0.419,19.9,0.4,21.1,0
2025-10-19 11:00:00,0.419,19.5,0.4,20.8,0
2025-10-19 12:00:00,0.42,19.1,0.4,20.5,0
2025-10-19 13:00:00,0.42,18.7,0.401,20.2,0
2025-10-19 14:00:00,0.42,18.2,0.401,19.9,0
2025-10-19 15:00:00,0.42,17.8,0.4,19.5,0
2025-10-19 16:00:00,0.42,17.5,0.401,19.1,0
2025-10-19 17:00:00,0.42,17.2,0.401,18.9,0
2025-10-19 18:00:00,0.421,16.9,0.401,18.6,0
2025-10-19 19:00:00,0.421,16.5,0.401,18.2,0
2025-10-19 20:00:00,0.421,16.2,0.401,17.9,0
2025-10-19 21:00:00,0.422,15.8,0.402,17.6,0
2025-10-19 22:00:00,0.422,15.4,0.402,17.3,0
2025-10-19 23:00:00,0.423,15.2,0.402,17,0
2025-10-20 00:00:00,0.422,16,0.402,16.8,0
2025-10-20 01:00:00,0.421,17.5,0.401,17.1,0
2025-10-20 02:00:00,0.419,18.8,0.401,17.7,0
2025-10-20 03:00:00,0.417,19.9,0.399,18.6,0
2025-10-20 04:00:00,0.415,20.6,0.398,19.4,0
2025-10-20 05:00:00,0.413,20.6,0.397,20.1,0
2025-10-20 06:00:00,0.413,20,0.396,20.6,0
2025-10-20 07:00:00,0.413,19.3,0.395,20.9,0
2025-10-20 08:00:00,0.414,18.6,0.395,20.9,0
2025-10-20 09:00:00,0.414,17.9,0.395,20.7,0
2025-10-20 10:00:00,0.414,17.4,0.396,20.2,0
2025-10-20 11:00:00,0.414,17,0.396,19.8,0
2025-10-20 12:00:00,0.415,16.6,0.396,19.3,0
2025-10-20 13:00:00,0.415,16.3,0.397,18.9,0
2025-10-20 14:00:00,0.416,16,0.397,18.5,0
2025-10-20 15:00:00,0.416,15.8,0.397,18.2,0
2025-10-20 16:00:00,0.416,15.7,0.397,17.8,0
2025-10-20 17:00:00,0.417,15.6,0.398,17.6,0
2025-10-20 18:00:00,0.417,15.6,0.398,17.4,0
2025-10-20 19:00:00,0.417,15.5,0.398,17.2,0
2025-10-20 20:00:00,0.417,15.5,0.398,17,0
2025-10-20 21:00:00,0.418,15.5,0.398,16.9,0
2025-10-20 22:00:00,0.418,15.5,0.398,16.8,0
2025-10-20 23:00:00,0.418,15.6,0.398,16.7,0
2025-10-21 00:00:00,0.418,15.9,0.398,16.7,0
2025-10-21 01:00:00,0.417,16.6,0.398,16.8,0
2025-10-21 02:00:00,0.416,17.3,0.397,17.1,0
2025-10-21 03:00:00,0.416,17.6,0.397,17.4,0
2025-10-21 04:00:00,0.416,17.9,0.397,17.7,0
2025-10-21 05:00:00,0.415,18.3,0.396,18,0
2025-10-21 06:00:00,0.415,18.5,0.396,18.3,0
2025-10-21 07:00:00,0.415,18.3,0.395,18.5,0
2025-10-21 08:00:00,0.415,17.8,0.395,18.5,0
2025-10-21 09:00:00,0.415,17.3,0.395,18.4,0
2025-10-21 10:00:00,0.416,16.8,0.395,18.1,0
2025-10-21 11:00:00,0.416,16.5,0.396,17.8,0
2025-10-21 12:00:00,0.417,16.2,0.396,17.5,0
2025-10-21 13:00:00,0.417,15.8,0.396,17.2,0
2025-10-21 14:00:00,0.417,15.5,0.396,17,0
2025-10-21 15:00:00,0.418,15.2,0.396,16.6,0
2025-10-21 16:00:00,0.418,14.9,0.396,16.4,0
2025-10-21 17:00:00,0.419,14.5,0.397,16.1,0
2025-10-21 18:00:00,0.419,14.2,0.397,15.8,0
2025-10-21 19:00:00,0.42,13.8,0.397,15.5,0
2025-10-21 20:00:00,0.42,13.5,0.397,15.1,0
2025-10-21 21:00:00,0.421,13.2,0.397,14.8,0
2025-10-21 22:00:00,0.421,13,0.397,14.6,0
2025-10-21 23:00:00,0.421,13.1,0.397,14.3,0
2025-10-22 00:00:00,0.421,14.2,0.397,14.3,0
2025-10-22 01:00:00,0.42,15.6,0.397,14.7,0
2025-10-22 02:00:00,0.418,17.4,0.396,15.4,0
2025-10-22 03:00:00,0.417,19.1,0.395,16.4,0
2025-10-22 04:00:00,0.415,20.2,0.394,17.5,0
2025-10-22 05:00:00,0.414,20.6,0.393,18.5,0
2025-10-22 06:00:00,0.413,20.3,0.391,19.3,0
2025-10-22 07:00:00,0.413,19.6,0.39,19.7,0
2025-10-22 08:00:00,0.413,18.9,0.39,19.8,0
2025-10-22 09:00:00,0.413,18.4,0.39,19.6,0
2025-10-22 10:00:00,0.414,18,0.39,19.3,0
2025-10-22 11:00:00,0.414,17.8,0.39,19.1,0
2025-10-22 12:00:00,0.414,17.6,0.391,18.8,0
2025-10-22 13:00:00,0.415,17.3,0.391,18.6,0
2025-10-22 14:00:00,0.415,16.9,0.391,18.3,0
2025-10-22 15:00:00,0.416,16.4,0.391,17.9,0
2025-10-22 16:00:00,0.416,16.1,0.391,17.6,0
2025-10-22 17:00:00,0.416,15.7,0.391,17.3,0
2025-10-22 18:00:00,0.417,15.4,0.391,17,0
2025-10-22 19:00:00,0.417,15.2,0.392,16.7,0
2025-10-22 20:00:00,0.417,14.9,0.392,16.4,0
2025-10-22 21:00:00,0.418,14.7,0.392,16.1,0
2025-10-22 22:00:00,0.418,14.7,0.392,15.9,0
2025-10-22 23:00:00,0.418,15,0.392,15.8,0
2025-10-23 00:00:00,0.418,16.1,0.392,15.8,0
2025-10-23 01:00:00,0.416,17.9,0.392,16.3,0
2025-10-23 02:00:00,0.415,19.7,0.391,17.2,0
2025-10-23 03:00:00,0.413,21.1,0.389,18.3,0
2025-10-23 04:00:00,0.412,21.5,0.387,19.2,0
2025-10-23 05:00:00,0.411,21.6,0.386,20,0
2025-10-23 06:00:00,0.411,21.1,0.384,20.5,0
2025-10-23 07:00:00,0.411,20.2,0.382,20.7,0
2025-10-23 08:00:00,0.411,19.5,0.381,20.6,0
2025-10-23 09:00:00,0.411,18.7,0.381,20.3,0
2025-10-23 10:00:00,0.411,18.1,0.381,19.9,0
2025-10-23 11:00:00,0.411,17.6,0.382,19.4,0
2025-10-23 12:00:00,0.411,17.2,0.382,19,0
2025-10-23 13:00:00,0.412,16.7,0.382,18.6,0
