time,tree_SM,tree_temperature,soil_moisture_10cm,soil_temperature_10cm,precipitation
2026-02-23 07:00:00,0.297,12.6,0.228,7.4,0
2026-02-23 08:00:00,0.3,10,0.229,7.1,0
2026-02-23 09:00:00,0.304,6.6,0.229,7,0
2026-02-23 10:00:00,0.307,4.7,0.229,6.8,0
2026-02-23 11:00:00,0.309,3.6,0.229,6.7,0
2026-02-23 12:00:00,0.31,2.5,0.229,6.5,0
2026-02-23 13:00:00,0.311,1.9,0.229,6.3,0
2026-02-23 14:00:00,0.312,2.1,0.23,6.2,0
2026-02-23 15:00:00,0.313,1.7,0.23,6,0
2026-02-23 16:00:00,0.314,1.5,0.23,5.9,0
2026-02-23 17:00:00,0.314,1.2,0.23,5.8,0
2026-02-23 18:00:00,0.315,1.1,0.23,5.7,0
2026-02-23 19:00:00,0.315,1.1,0.23,5.6,0
2026-02-23 20:00:00,0.315,1.1,0.23,5.5,0
2026-02-23 21:00:00,0.316,2,0.23,5.5,0
2026-02-23 22:00:00,0.316,2.5,0.23,5.4,0
2026-02-23 23:00:00,0.316,2.9,0.23,5.4,0
2026-02-24 00:00:00,0.316,4,0.23,5.4,0
2026-02-24 01:00:00,0.316,3,0.23,5.5,1
2026-02-24 02:00:00,0.317,2.9,0.23,5.4,2.5
2026-02-24 03:00:00,0.335,2.7,0.231,5.4,3.5
2026-02-24 04:00:00,0.348,3,0.278,5.3,3
2026-02-24 05:00:00,0.348,3.4,0.311,5.2,0
2026-02-24 06:00:00,0.349,3.7,0.31,5.3,0
2026-02-24 07:00:00,0.35,3.8,0.31,5.4,0
2026-02-24 08:00:00,0.349,3.8,0.307,5.5,0
2026-02-24 09:00:00,0.35,3.7,0.304,5.5,0
2026-02-24 10:00:00,0.349,3.6,0.302,5.6,0
2026-02-24 11:00:00,0.347,3.4,0.299,5.6,0
2026-02-24 12:00:00,0.346,2.4,0.298,5.6,0
2026-02-24 13:00:00,0.346,1.5,0.296,5.6,0
2026-02-24 14:00:00,0.346,1,0.295,5.5,0
2026-02-24 15:00:00,0.345,0.5,0.295,5.4,0
2026-02-24 16:00:00,0.345,0.1,0.294,5.3,0
2026-02-24 17:00:00,0.345,-0.1,0.294,5.2,0
2026-02-24 18:00:00,0.343,-0.2,0.293,5.1,0
2026-02-24 19:00:00,0.339,-0.2,0.293,5,0
2026-02-24 20:00:00,0.337,0.1,0.292,4.9,0
2026-02-24 21:00:00,0.336,0.3,0.292,4.9,0
2026-02-24 22:00:00,0.336,0.3,0.292,4.8,0
2026-02-24 23:00:00,0.337,0.5,0.292,4.8,0
2026-02-25 00:00:00,0.342,1.4,0.291,4.9,0
2026-02-25 01:00:00,0.342,3.3,0.291,5,0
2026-02-25 02:00:00,0.341,5,0.291,5.2,0
2026-02-25 03:00:00,0.34,7.8,0.29,5.4,0
2026-02-25 04:00:00,0.338,10.3,0.29,5.9,0
2026-02-25 05:00:00,0.335,11.7,0.289,6.5,0
2026-02-25 06:00:00,0.333,11.7,0.288,7.2,0
2026-02-25 07:00:00,0.332,11.2,0.288,7.7,0
2026-02-25 08:00:00,0.331,10.3,0.287,8,0
2026-02-25 09:00:00,0.33,8,0.286,8,0
2026-02-25 10:00:00,0.33,5.9,0.286,8,0
2026-02-25 11:00:00,0.329,4.8,0.286,7.8,0
2026-02-25 12:00:00,0.329,4,0.286,7.6,0
2026-02-25 13:00:00,0.329,3.2,0.285,7.4,0
2026-02-25 14:00:00,0.329,2.5,0.285,7.1,0
2026-02-25 15:00:00,0.329,2,0.285,6.9,0
2026-02-25 16:00:00,0.329,1.7,0.285,6.7,0
2026-02-25 17:00:00,0.329,1.2,0.285,6.5,0
2026-02-25 18:00:00,0.329,0.6,0.285,6.4,0
2026-02-25 19:00:00,0.329,0.1,0.285,6.2,0
2026-02-25 20:00:00,0.329,-0.2,0.285,6,0
2026-02-25 21:00:00,0.329,-0.5,0.285,5.9,0
2026-02-25 22:00:00,0.329,-0.7,0.285,5.7,0
2026-02-25 23:00:00,0.328,0.5,0.285,5.5,0
2026-02-26 00:00:00,0.328,4,0.285,5.4,0
2026-02-26 01:00:00,0.327,7.7,0.285,5.5,0
2026-02-26 02:00:00,0.326,10,0.284,5.8,0
2026-02-26 03:00:00,0.326,11.6,0.284,6.2,0
2026-02-26 04:00:00,0.326,12.1,0.284,6.6,0
2026-02-26 05:00:00,0.325,12.8,0.283,7,0
2026-02-26 06:00:00,0.325,12.1,0.283,7.4,0
2026-02-26 07:00:00,0.325,11.4,0.282,7.7,0
2026-02-26 08:00:00,0.325,11,0.282,7.9,0
2026-02-26 09:00:00,0.325,10.1,0.282,8,0
2026-02-26 10:00:00,0.325,9.4,0.282,8,0
2026-02-26 11:00:00,0.325,9,0.282,7.9,0
2026-02-26 12:00:00,0.325,8.6,0.281,7.9,0
2026-02-26 13:00:00,0.325,8.4,0.281,7.8,0
2026-02-26 14:00:00,0.325,8.3,0.281,7.8,0
2026-02-26 15:00:00,0.324,8.1,0.281,7.7,0
2026-02-26 16:00:00,0.325,7.5,0.281,7.7,1
2026-02-26 17:00:00,0.325,7.2,0.283,7.7,1
2026-02-26 18:00:00,0.331,7.1,0.288,7.6,1
2026-02-26 19:00:00,0.345,7.1,0.296,7.6,1
2026-02-26 20:00:00,0.347,7.1,0.302,7.5,0
2026-02-26 21:00:00,0.346,7.1,0.299,7.5,0
2026-02-26 22:00:00,0.344,7.1,0.297,7.5,0
2026-02-26 23:00:00,0.344,7.4,0.296,7.4,0
2026-02-27 00:00:00,0.343,8,0.294,7.5,0
2026-02-27 01:00:00,0.342,9.2,0.294,7.5,0
2026-02-27 02:00:00,0.34,10.2,0.293,7.7,0
2026-02-27 03:00:00,0.337,10.6,0.292,7.9,0
2026-02-27 04:00:00,0.334,9.8,0.291,8.2,0
2026-02-27 05:00:00,0.333,9.5,0.291,8.4,0
2026-02-27 06:00:00,0.332,9.6,0.29,8.6,0
2026-02-27 07:00:00,0.33,11,0.289,8.7,0
2026-02-27 08:00:00,0.33,10.8,0.289,8.8,0
2026-02-27 09:00:00,0.329,9.4,0.288,8.9,0
