time,soil_moisture_10cm,soil_temperature_10cm,soil_moisture_20cm,soil_temperature_20cm,precipitation
2025-10-16 09:00:00,0.421,23,0.373,23.6,0
2025-10-16 10:00:00,0.421,22.8,0.375,23.2,0
2025-10-16 11:00:00,0.422,22.4,0.376,22.4,0
2025-10-16 12:00:00,0.422,22,0.377,21.8,0
2025-10-16 13:00:00,0.422,21.6,0.378,21.3,0
2025-10-16 14:00:00,0.423,21.3,0.378,20.9,0
2025-10-16 15:00:00,0.423,21,0.379,20.5,0
2025-10-16 16:00:00,0.423,20.6,0.379,20,0
2025-10-16 17:00:00,0.424,20.3,0.38,19.6,0
2025-10-16 18:00:00,0.424,20,0.38,19.3,0
2025-10-16 19:00:00,0.424,19.8,0.38,19,0
2025-10-16 20:00:00,0.425,19.6,0.381,18.7,0
2025-10-16 21:00:00,0.425,19.4,0.381,18.5,0
2025-10-16 22:00:00,0.425,19.3,0.381,18.5,0
2025-10-16 23:00:00,0.425,19.4,0.381,18.7,0
2025-10-17 00:00:00,0.425,19.7,0.381,19.2,0
2025-10-17 01:00:00,0.424,20.2,0.38,20,0
2025-10-17 02:00:00,0.424,20.8,0.38,20.9,0
2025-10-17 03:00:00,0.423,21.5,0.379,21.7,0
2025-10-17 04:00:00,0.422,22.1,0.378,22.4,0
2025-10-17 05:00:00,0.422,22.4,0.378,22.8,0
2025-10-17 06:00:00,0.421,22.6,0.377,23.2,0
2025-10-17 07:00:00,0.421,22.5,0.377,23,1
2025-10-17 08:00:00,0.421,22.3,0.381,22.6,3
2025-10-17 09:00:00,0.421,22,0.386,22.1,0.5
2025-10-17 10:00:00,0.422,21.8,0.386,21.8,0
2025-10-17 11:00:00,0.422,21.6,0.387,21.5,0
2025-10-17 12:00:00,0.422,21.4,0.387,21.3,0
2025-10-17 13:00:00,0.422,21.2,0.387,21.1,0
2025-10-17 14:00:00,0.422,21,0.387,20.9,0
2025-10-17 15:00:00,0.422,20.9,0.387,20.8,0
2025-10-17 16:00:00,0.422,20.9,0.387,20.8,0
2025-10-17 17:00:00,0.422,20.9,0.387,20.8,0
2025-10-17 18:00:00,0.422,20.9,0.387,20.8,0
2025-10-17 19:00:00,0.422,20.9,0.387,20.8,0
2025-10-17 20:00:00,0.422,20.9,0.387,20.8,0.5
2025-10-17 21:00:00,0.422,20.9,0.387,20.8,0.5
2025-10-17 22:00:00,0.422,20.9,0.387,20.8,0
2025-10-17 23:00:00,0.423,20.8,0.388,20.7,0
2025-10-18 00:00:00,0.423,20.7,0.39,20.6,0.5
2025-10-18 01:00:00,0.423,20.7,0.39,20.6,0
2025-10-18 02:00:00,0.423,20.8,0.39,20.7,0
2025-10-18 03:00:00,0.422,21,0.39,21.1,0
2025-10-18 04:00:00,0.422,21.1,0.39,21.2,0
2025-10-18 05:00:00,0.422,21.1,0.39,21.2,0
2025-10-18 06:00:00,0.422,21.1,0.39,21.3,0
2025-10-18 07:00:00,0.422,21,0.389,21.1,0
2025-10-18 08:00:00,0.422,20.8,0.389,20.8,0
2025-10-18 09:00:00,0.423,20.5,0.39,20.4,0
2025-10-18 10:00:00,0.423,20.2,0.39,20,0
2025-10-18 11:00:00,0.423,20,0.39,19.6,0
2025-10-18 12:00:00,0.423,19.8,0.39,19.2,0
2025-10-18 13:00:00,0.423,19.6,0.39,19,0
2025-10-18 14:00:00,0.423,19.5,0.39,18.7,0
2025-10-18 15:00:00,0.424,19.4,0.39,18.5,0
2025-10-18 16:00:00,0.426,19.2,0.39,18.4,0
2025-10-18 17:00:00,0.426,19.1,0.39,18.2,0
2025-10-18 18:00:00,0.426,19,0.39,18,0
2025-10-18 19:00:00,0.426,18.9,0.39,17.9,0
2025-10-18 20:00:00,0.426,18.8,0.39,17.8,0
2025-10-18 21:00:00,0.426,18.8,0.389,17.7,0
2025-10-18 22:00:00,0.426,18.7,0.389,17.6,0
2025-10-18 23:00:00,0.426,18.7,0.389,17.7,0
2025-10-19 00:00:00,0.425,18.9,0.389,18.1,0
2025-10-19 01:00:00,0.425,19.3,0.389,18.8,0
2025-10-19 02:00:00,0.424,19.8,0.388,19.8,0
2025-10-19 03:00:00,0.424,20.4,0.387,20.9,0
2025-10-19 04:00:00,0.423,21.1,0.386,21.8,0
2025-10-19 05:00:00,0.422,21.5,0.386,22.2,0
2025-10-19 06:00:00,0.422,21.6,0.385,22.3,0
2025-10-19 07:00:00,0.422,21.5,0.386,22,0
2025-10-19 08:00:00,0.422,21.2,0.386,21.5,0
2025-10-19 09:00:00,0.423,20.8,0.386,20.9,0
2025-10-19 10:00:00,0.423,20.4,0.386,20.2,0
2025-10-19 11:00:00,0.424,20.1,0.386,19.7,0
2025-10-19 12:00:00,0.424,19.7,0.386,19.2,0
2025-10-19 13:00:00,0.424,19.4,0.386,18.7,0
2025-10-19 14:00:00,0.425,19,0.386,18.1,0
2025-10-19 15:00:00,0.425,18.6,0.387,17.5,0
2025-10-19 16:00:00,0.426,18.2,0.387,17,0
2025-10-19 17:00:00,0.426,18,0.387,16.6,0
2025-10-19 18:00:00,0.426,17.6,0.387,16.1,0
2025-10-19 19:00:00,0.427,17.3,0.387,15.7,0
2025-10-19 20:00:00,0.427,17,0.387,15.2,0
2025-10-19 21:00:00,0.428,16.7,0.387,14.7,0
2025-10-19 22:00:00,0.428,16.4,0.388,14.2,0
2025-10-19 23:00:00,0.428,16.1,0.388,14,0
2025-10-20 00:00:00,0.428,16.2,0.387,14.6,0
2025-10-20 01:00:00,0.428,16.5,0.386,15.9,0
2025-10-20 02:00:00,0.427,17.2,0.385,17.6,0
2025-10-20 03:00:00,0.426,18.2,0.383,19.2,0
2025-10-20 04:00:00,0.425,19,0.382,20.6,0
2025-10-20 05:00:00,0.425,19.6,0.381,21.4,0
2025-10-20 06:00:00,0.424,19.8,0.381,21.6,0
2025-10-20 07:00:00,0.424,19.7,0.38,21.4,0
2025-10-20 08:00:00,0.425,19.4,0.38,20.7,0
2025-10-20 09:00:00,0.425,18.9,0.38,19.5,0
2025-10-20 10:00:00,0.426,18.3,0.38,18.3,0
2025-10-20 11:00:00,0.426,17.8,0.379,17.4,0
2025-10-20 12:00:00,0.427,17.4,0.379,16.6,0
2025-10-20 13:00:00,0.427,17,0.379,15.8,0
2025-10-20 14:00:00,0.428,16.6,0.379,15.3,0
2025-10-20 15:00:00,0.428,16.4,0.379,14.8,0
2025-10-20 16:00:00,0.428,16.1,0.379,14.4,0
2025-10-20 17:00:00,0.428,16,0.378,14.2,0
2025-10-20 18:00:00,0.428,15.9,0.378,14,0
2025-10-20 19:00:00,0.428,15.8,0.378,13.9,0
2025-10-20 20:00:00,0.429,15.8,0.378,13.8,0
2025-10-20 21:00:00,0.429,15.8,0.377,13.8,0
2025-10-20 22:00:00,0.429,15.7,0.377,13.7,0
2025-10-20 23:00:00,0.429,15.7,0.377,13.8,0
2025-10-21 00:00:00,0.428,15.9,0.377,14,0
2025-10-21 01:00:00,0.428,16.2,0.376,14.7,0
2025-10-21 02:00:00,0.428,16.6,0.376,15.5,0
2025-10-21 03:00:00,0.427,17,0.375,16,0
2025-10-21 04:00:00,0.427,17.3,0.374,16.6,0
2025-10-21 05:00:00,0.426,17.6,0.373,17.2,0
2025-10-21 06:00:00,0.426,17.9,0.373,17.7,0
2025-10-21 07:00:00,0.426,18.1,0.372,17.9,0
2025-10-21 08:00:00,0.426,18,0.372,17.5,0
2025-10-21 09:00:00,0.426,17.7,0.372,16.9,0
2025-10-21 10:00:00,0.426,17.3,0.371,16.3,0
2025-10-21 11:00:00,0.427,17,0.372,15.8,0
2025-10-21 12:00:00,0.427,16.7,0.371,15.3,0
2025-10-21 13:00:00,0.427,16.4,0.371,14.8,0
2025-10-21 14:00:00,0.427,16.1,0.372,14.3,0
2025-10-21 15:00:00,0.428,15.8,0.372,13.9,0
2025-10-21 16:00:00,0.428,15.5,0.372,13.5,0
2025-10-21 17:00:00,0.428,15.2,0.372,13,0
2025-10-21 18:00:00,0.428,14.9,0.372,12.5,0
2025-10-21 19:00:00,0.429,14.6,0.372,12.1,0
2025-10-21 20:00:00,0.429,14.2,0.373,11.6,0
2025-10-21 21:00:00,0.43,13.9,0.373,11.2,0
2025-10-21 22:00:00,0.43,13.7,0.373,10.8,0
2025-10-21 23:00:00,0.43,13.5,0.373,10.8,0
2025-10-22 00:00:00,0.43,13.7,0.372,11.6,0
2025-10-22 01:00:00,0.429,14.3,0.371,13.1,0
2025-10-22 02:00:00,0.428,15.3,0.37,15.2,0
2025-10-22 03:00:00,0.427,16.5,0.368,17.4,0
2025-10-22 04:00:00,0.425,17.7,0.367,19.3,0
2025-10-22 05:00:00,0.424,18.7,0.365,20.7,0
2025-10-22 06:00:00,0.423,19.2,0.364,21.3,0
2025-10-22 07:00:00,0.423,19.3,0.364,21.1,0
2025-10-22 08:00:00,0.423,19.1,0.363,20.2,0
2025-10-22 09:00:00,0.423,18.6,0.363,19.2,0
2025-10-22 10:00:00,0.424,18.2,0.363,18.4,0
2025-10-22 11:00:00,0.424,17.9,0.363,17.9,0
2025-10-22 12:00:00,0.424,17.7,0.363,17.5,0
2025-10-22 13:00:00,0.424,17.5,0.363,17,0
2025-10-22 14:00:00,0.424,17.2,0.363,16.4,0
2025-10-22 15:00:00,0.425,16.8,0.363,15.8,0
2025-10-22 16:00:00,0.425,16.5,0.363,15.3,0
2025-10-22 17:00:00,0.426,16.1,0.363,14.8,0
2025-10-22 18:00:00,0.426,15.8,0.363,14.3,0
2025-10-22 19:00:00,0.426,15.5,0.363,13.9,0
2025-10-22 20:00:00,0.426,15.2,0.364,13.5,0
2025-10-22 21:00:00,0.427,15,0.364,13.1,0
2025-10-22 22:00:00,0.427,14.8,0.364,12.9,0
2025-10-22 23:00:00,0.427,14.9,0.364,13.2,0
2025-10-23 00:00:00,0.427,15.2,0.363,14.1,0
2025-10-23 01:00:00,0.426,15.9,0.362,16,0
2025-10-23 02:00:00,0.425,16.9,0.36,18.1,0
2025-10-23 03:00:00,0.424,18.1,0.359,20.1,0
2025-10-23 04:00:00,0.423,19.2,0.357,21.4,0
2025-10-23 05:00:00,0.422,19.9,0.356,22.2,0
2025-10-23 06:00:00,0.421,20.2,0.355,22.5,0
2025-10-23 07:00:00,0.421,20.1,0.355,22.1,0
2025-10-23 08:00:00,0.421,19.7,0.355,21.2,0
2025-10-23 09:00:00,0.421,19.2,0.355,20.2,0
2025-10-23 10:00:00,0.421,18.7,0.355,19.1,0
2025-10-23 11:00:00,0.421,18.2,0.355,18.2,0
2025-10-23 12:00:00,0.422,17.7,0.355,17.4,0
2025-10-23 13:00:00,0.422,17.2,0.355,16.7,0
2025-10-23 14:00:00,0.422,16.8,0.355,16,0
2025-10-23 15:00:00,0.423,16.5,0.355,15.4,0
2025-10-23 16:00:00,0.423,16.1,0.356,14.9,0
2025-10-23 17:00:00,0.423,15.8,0.356,14.5,0
2025-10-23 18:00:00,0.424,15.5,0.356,14,0
2025-10-23 19:00:00,0.424,15.3,0.356,13.7,0
2025-10-23 20:00:00,0.424,15.1,0.356,13.5,0
2025-10-23 21:00:00,0.424,15,0.356,13.1,0
2025-10-23 22:00:00,0.425,14.8,0.356,12.9,0
2025-10-23 23:00:00,0.425,14.8,0.356,13.1,0
2025-10-24 00:00:00,0.424,15.1,0.356,14,0
2025-10-24 01:00:00,0.424,15.8,0.355,15.7,0
2025-10-24 02:00:00,0.423,16.8,0.353,17.7,0
2025-10-24 03:00:00,0.42,17.9,0.352,19.7,0
2025-10-24 04:00:00,0.418,19.1,0.35,21.4,0
2025-10-24 05:00:00,0.418,19.9,0.349,22.6,0
2025-10-24 06:00:00,0.417,20.3,0.348,22.9,0
2025-10-24 07:00:00,0.417,20.2,0.348,22.4,0
2025-10-24 08:00:00,0.417,19.9,0.348,21.5,0
2025-10-24 09:00:00,0.417,19.3,0.348,20.4,0
2025-10-24 10:00:00,0.417,18.8,0.348,19.3,0
2025-10-24 11:00:00,0.418,18.3,0.348,18.5,0
