station_id,lat,lon,elevation_m,land_cover,install_date,sensor_model,depths_cm,notes,,,,
HP_1-2,35.019688,126.5474234,44.36,Forest,2/25/26,METER TEROS-12,"0, 10",Hampyeong cal/val station 1,,,,
HP_1-3,35.0192252,126.5463558,27.842,Grassland,2/25/26,METER TEROS-12,"10, 20",Hampyeong cal/val station 2,,,,
HP_3-1,35.0145375,126.5458682,12.577,Rice paddy,10/28/25,METER TEROS-12,"10, 20",Hampyeong cal/val station 3,,,,
HP_3-4,35.0156652,126.5462768,46.507,Grassland,10/18/25,METER TEROS-12,"10, 20",Hampyeong cal/val station 4,,,,
HP_3-5,35.0154459,126.5465388,36.736,Forest,10/18/25,METER TEROS-12,"0, 10",Hampyeong cal/val station 5,,,,
HP_3-6,35.0155683,126.5475871,26.032,Upland crop,10/18/25,METER TEROS-12,"10, 20",Hampyeong cal/val station 6,,,,
HP_3-7,35.0142901,126.5465003,11.326,Rice paddy,10/18/25,METER TEROS-12,"10, 20",Hampyeong cal/val station 7,,,,
HP_5-1,35.0112297,126.5467827,27.006,Grassland,11/4/25,METER TEROS-12,"10, 20",Hampyeong cal/val station 8,,,,
HP_5-2,35.0118745,126.5469248,18.155,Upland crop,2/25/26,METER TEROS-12,"10, 20",Hampyeong cal/val station 9,,,,
HP_5-3,35.0111041,126.54587,38.479,Forest,2/25/26,METER TEROS-12,"0, 10",Hampyeong cal/val station 10,,,,
HP_7-1,35.0178151,126.5494851,27.673,Grassland,2/23/26,METER TEROS-12,"10, 20",Hampyeong cal/val station 11,,,,
HP_7-2,35.0173792,126.5481475,28.409,Upland crop,2/25/26,METER TEROS-12,"10, 20",Hampyeong cal/val station 12,,,,
HP_9-1,35.0126861,126.5494689,9.365,Rice paddy,10/16/25,METER TEROS-12,"10, 20",Hampyeong cal/val station 13,,,,
HP_9-2,35.0134606,126.5487608,20.278,Rice paddy,2/20/26,METER TEROS-12,"10, 20",Hampyeong cal/val station 14,,,,
HP_9-3,35.0127725,126.5487687,11.275,Rice paddy,2/25/26,METER TEROS-12,"10, 20",Hampyeong cal/val station 15,,,,
HP_10-1,35.0119686,126.549683,22.672,Rice paddy,6/5/25,METER TEROS-12,"10, 20",Hampyeong cal/val station 16,,,,
