time,sm_bank_20cm,sm_irr_10cm,temp_bank_20cm,temp_irr_10cm
2025-10-16 09:00:00,0.373,0.421,23.6,23
2025-10-16 10:00:00,0.375,0.421,23.2,22.8
2025-10-16 11:00:00,0.376,0.422,22.4,22.4
2025-10-16 12:00:00,0.377,0.422,21.8,22
2025-10-16 13:00:00,0.378,0.422,21.3,21.6
2025-10-16 14:00:00,0.378,0.423,20.9,21.3
2025-10-16 15:00:00,0.379,0.423,20.5,21
2025-10-16 16:00:00,0.379,0.423,20,20.6
2025-10-16 17:00:00,0.38,0.424,19.6,20.3
2025-10-16 18:00:00,0.38,0.424,19.3,20
2025-10-16 19:00:00,0.38,0.424,19,19.8
2025-10-16 20:00:00,0.381,0.425,18.7,19.6
2025-10-16 21:00:00,0.381,0.425,18.5,19.4
2025-10-16 22:00:00,0.381,0.425,18.5,19.3
2025-10-16 23:00:00,0.381,0.425,18.7,19.4
2025-10-17 00:00:00,0.381,0.425,19.2,19.7
2025-10-17 01:00:00,0.38,0.424,20,20.2
2025-10-17 02:00:00,0.38,0.424,20.9,20.8
2025-10-17 03:00:00,0.379,0.423,21.7,21.5
2025-10-17 04:00:00,0.378,0.422,22.4,22.1
2025-10-17 05:00:00,0.378,0.422,22.8,22.4
2025-10-17 06:00:00,0.377,0.421,23.2,22.6
2025-10-17 07:00:00,0.377,0.421,23,22.5
2025-10-17 08:00:00,0.381,0.421,22.6,22.3
2025-10-17 09:00:00,0.386,0.421,22.1,22
2025-10-17 10:00:00,0.386,0.422,21.8,21.8
2025-10-17 11:00:00,0.387,0.422,21.5,21.6
2025-10-17 12:00:00,0.387,0.422,21.3,21.4
2025-10-17 13:00:00,0.387,0.422,21.1,21.2
2025-10-17 14:00:00,0.387,0.422,20.9,21
2025-10-17 15:00:00,0.387,0.422,20.8,20.9
2025-10-17 16:00:00,0.387,0.422,20.8,20.9
2025-10-17 17:00:00,0.387,0.422,20.8,20.9
2025-10-17 18:00:00,0.387,0.422,20.8,20.9
2025-10-17 19:00:00,0.387,0.422,20.8,20.9
2025-10-17 20:00:00,0.387,0.422,20.8,20.9
2025-10-17 21:00:00,0.387,0.422,20.8,20.9
2025-10-17 22:00:00,0.387,0.422,20.8,20.9
2025-10-17 23:00:00,0.388,0.423,20.7,20.8
2025-10-18 00:00:00,0.39,0.423,20.6,20.7
2025-10-18 01:00:00,0.39,0.423,20.6,20.7
2025-10-18 02:00:00,0.39,0.423,20.7,20.8
2025-10-18 03:00:00,0.39,0.422,21.1,21
2025-10-18 04:00:00,0.39,0.422,21.2,21.1
2025-10-18 05:00:00,0.39,0.422,21.2,21.1
2025-10-18 06:00:00,0.39,0.422,21.3,21.1
2025-10-18 07:00:00,0.389,0.422,21.1,21
2025-10-18 08:00:00,0.389,0.422,20.8,20.8
2025-10-18 09:00:00,0.39,0.423,20.4,20.5
2025-10-18 10:00:00,0.39,0.423,20,20.2
2025-10-18 11:00:00,0.39,0.423,19.6,20
2025-10-18 12:00:00,0.39,0.423,19.2,19.8
2025-10-18 13:00:00,0.39,0.423,19,19.6
2025-10-18 14:00:00,0.39,0.423,18.7,19.5
2025-10-18 15:00:00,0.39,0.424,18.5,19.4
2025-10-18 16:00:00,0.39,0.426,18.4,19.2
2025-10-18 17:00:00,0.39,0.426,18.2,19.1
2025-10-18 18:00:00,0.39,0.426,18,19
2025-10-18 19:00:00,0.39,0.426,17.9,18.9
2025-10-18 20:00:00,0.39,0.426,17.8,18.8
2025-10-18 21:00:00,0.389,0.426,17.7,18.8
2025-10-18 22:00:00,0.389,0.426,17.6,18.7
2025-10-18 23:00:00,0.389,0.426,17.7,18.7
2025-10-19 00:00:00,0.389,0.425,18.1,18.9
2025-10-19 01:00:00,0.389,0.425,18.8,19.3
2025-10-19 02:00:00,0.388,0.424,19.8,19.8
2025-10-19 03:00:00,0.387,0.424,20.9,20.4
2025-10-19 04:00:00,0.386,0.423,21.8,21.1
2025-10-19 05:00:00,0.386,0.422,22.2,21.5
2025-10-19 06:00:00,0.385,0.422,22.3,21.6
2025-10-19 07:00:00,0.386,0.422,22,21.5
2025-10-19 08:00:00,0.386,0.422,21.5,21.2
2025-10-19 09:00:00,0.386,0.423,20.9,20.8
2025-10-19 10:00:00,0.386,0.423,20.2,20.4
2025-10-19 11:00:00,0.386,0.424,19.7,20.1
2025-10-19 12:00:00,0.386,0.424,19.2,19.7
2025-10-19 13:00:00,0.386,0.424,18.7,19.4
2025-10-19 14:00:00,0.386,0.425,18.1,19
2025-10-19 15:00:00,0.387,0.425,17.5,18.6
2025-10-19 16:00:00,0.387,0.426,17,18.2
2025-10-19 17:00:00,0.387,0.426,16.6,18
2025-10-19 18:00:00,0.387,0.426,16.1,17.6
2025-10-19 19:00:00,0.387,0.427,15.7,17.3
2025-10-19 20:00:00,0.387,0.427,15.2,17
2025-10-19 21:00:00,0.387,0.428,14.7,16.7
2025-10-19 22:00:00,0.388,0.428,14.2,16.4
2025-10-19 23:00:00,0.388,0.428,14,16.1
2025-10-20 00:00:00,0.387,0.428,14.6,16.2
2025-10-20 01:00:00,0.386,0.428,15.9,16.5
2025-10-20 02:00:00,0.385,0.427,17.6,17.2
2025-10-20 03:00:00,0.383,0.426,19.2,18.2
2025-10-20 04:00:00,0.382,0.425,20.6,19
2025-10-20 05:00:00,0.381,0.425,21.4,19.6
2025-10-20 06:00:00,0.381,0.424,21.6,19.8
2025-10-20 07:00:00,0.38,0.424,21.4,19.7
2025-10-20 08:00:00,0.38,0.425,20.7,19.4
2025-10-20 09:00:00,0.38,0.425,19.5,18.9
2025-10-20 10:00:00,0.38,0.426,18.3,18.3
2025-10-20 11:00:00,0.379,0.426,17.4,17.8
2025-10-20 12:00:00,0.379,0.427,16.6,17.4
2025-10-20 13:00:00,0.379,0.427,15.8,17
2025-10-20 14:00:00,0.379,0.428,15.3,16.6
2025-10-20 15:00:00,0.379,0.428,14.8,16.4
2025-10-20 16:00:00,0.379,0.428,14.4,16.1
2025-10-20 17:00:00,0.378,0.428,14.2,16
2025-10-20 18:00:00,0.378,0.428,14,15.9
2025-10-20 19:00:00,0.378,0.428,13.9,15.8
2025-10-20 20:00:00,0.378,0.429,13.8,15.8
2025-10-20 21:00:00,0.377,0.429,13.8,15.8
2025-10-20 22:00:00,0.377,0.429,13.7,15.7
2025-10-20 23:00:00,0.377,0.429,13.8,15.7
2025-10-21 00:00:00,0.377,0.428,14,15.9
2025-10-21 01:00:00,0.376,0.428,14.7,16.2
2025-10-21 02:00:00,0.376,0.428,15.5,16.6
2025-10-21 03:00:00,0.375,0.427,16,17
2025-10-21 04:00:00,0.374,0.427,16.6,17.3
2025-10-21 05:00:00,0.373,0.426,17.2,17.6
2025-10-21 06:00:00,0.373,0.426,17.7,17.9
2025-10-21 07:00:00,0.372,0.426,17.9,18.1
2025-10-21 08:00:00,0.372,0.426,17.5,18
2025-10-21 09:00:00,0.372,0.426,16.9,17.7
2025-10-21 10:00:00,0.371,0.426,16.3,17.3
2025-10-21 11:00:00,0.372,0.427,15.8,17
2025-10-21 12:00:00,0.371,0.427,15.3,16.7
2025-10-21 13:00:00,0.371,0.427,14.8,16.4
2025-10-21 14:00:00,0.372,0.427,14.3,16.1
2025-10-21 15:00:00,0.372,0.428,13.9,15.8
2025-10-21 16:00:00,0.372,0.428,13.5,15.5
2025-10-21 17:00:00,0.372,0.428,13,15.2
2025-10-21 18:00:00,0.372,0.428,12.5,14.9
2025-10-21 19:00:00,0.372,0.429,12.1,14.6
2025-10-21 20:00:00,0.373,0.429,11.6,14.2
2025-10-21 21:00:00,0.373,0.43,11.2,13.9
2025-10-21 22:00:00,0.373,0.43,10.8,13.7
2025-10-21 23:00:00,0.373,0.43,10.8,13.5
2025-10-22 00:00:00,0.372,0.43,11.6,13.7
2025-10-22 01:00:00,0.371,0.429,13.1,14.3
2025-10-22 02:00:00,0.37,0.428,15.2,15.3
2025-10-22 03:00:00,0.368,0.427,17.4,16.5
2025-10-22 04:00:00,0.367,0.425,19.3,17.7
2025-10-22 05:00:00,0.365,0.424,20.7,18.7
2025-10-22 06:00:00,0.364,0.423,21.3,19.2
2025-10-22 07:00:00,0.364,0.423,21.1,19.3
2025-10-22 08:00:00,0.363,0.423,20.2,19.1
2025-10-22 09:00:00,0.363,0.423,19.2,18.6
