time,sm_soil_10cm,temp_soil_10cm
2026-02-25 08:00:00,0.369,10.7
2026-02-25 08:05:00,0.369,9.9
2026-02-25 08:10:00,0.369,9.5
2026-02-25 08:15:00,0.369,9.3
2026-02-25 08:20:00,0.369,9.1
2026-02-25 08:25:00,0.369,9.0
2026-02-25 08:30:00,0.369,8.9
2026-02-25 08:35:00,0.369,8.9
2026-02-25 08:40:00,0.369,8.8
2026-02-25 08:45:00,0.368,8.8
2026-02-25 08:50:00,0.368,8.7
2026-02-25 08:55:00,0.368,8.7
2026-02-25 09:00:00,0.368,8.7
2026-02-25 09:05:00,0.368,8.7
2026-02-25 09:10:00,0.368,8.6
2026-02-25 09:15:00,0.368,8.6
2026-02-25 09:20:00,0.369,8.6
2026-02-25 09:25:00,0.368,8.6
2026-02-25 09:30:00,0.368,8.5
2026-02-25 09:35:00,0.368,8.5
2026-02-25 09:40:00,0.368,8.5
2026-02-25 09:45:00,0.368,8.5
2026-02-25 09:50:00,0.368,8.4
2026-02-25 09:55:00,0.368,8.4
2026-02-25 10:00:00,0.368,8.4
2026-02-25 10:05:00,0.368,8.3
2026-02-25 10:10:00,0.368,8.3
2026-02-25 10:15:00,0.369,8.3
2026-02-25 10:20:00,0.368,8.2
2026-02-25 10:25:00,0.368,8.2
2026-02-25 10:30:00,0.368,8.1
2026-02-25 10:35:00,0.368,8.1
2026-02-25 10:40:00,0.368,8.0
2026-02-25 10:45:00,0.369,8.0
2026-02-25 10:50:00,0.369,8.0
2026-02-25 10:55:00,0.368,7.9
2026-02-25 11:00:00,0.368,7.9
2026-02-25 11:05:00,0.368,7.8
2026-02-25 11:10:00,0.369,7.8
2026-02-25 11:15:00,0.369,7.7
2026-02-25 11:20:00,0.369,7.7
2026-02-25 11:25:00,0.368,7.7
2026-02-25 11:30:00,0.369,7.6
2026-02-25 11:35:00,0.369,7.6
2026-02-25 11:40:00,0.369,7.5
2026-02-25 11:45:00,0.369,7.5
2026-02-25 11:50:00,0.369,7.4
2026-02-25 11:55:00,0.369,7.4
2026-02-25 12:00:00,0.369,7.3
2026-02-25 12:05:00,0.369,7.3
2026-02-25 12:10:00,0.369,7.2
2026-02-25 12:15:00,0.369,7.2
2026-02-25 12:20:00,0.369,7.2
2026-02-25 12:25:00,0.369,7.1
2026-02-25 12:30:00,0.369,7.1
2026-02-25 12:35:00,0.369,7.0
2026-02-25 12:40:00,0.369,7.0
2026-02-25 12:45:00,0.369,6.9
2026-02-25 12:50:00,0.369,6.9
2026-02-25 12:55:00,0.369,6.9
2026-02-25 13:00:00,0.369,6.8
2026-02-25 13:05:00,0.369,6.8
2026-02-25 13:10:00,0.369,6.7
2026-02-25 13:15:00,0.369,6.7
2026-02-25 13:20:00,0.369,6.7
2026-02-25 13:25:00,0.369,6.6
2026-02-25 13:30:00,0.369,6.6
2026-02-25 13:35:00,0.369,6.5
2026-02-25 13:40:00,0.369,6.5
2026-02-25 13:45:00,0.369,6.5
2026-02-25 13:50:00,0.369,6.4
2026-02-25 13:55:00,0.369,6.4
2026-02-25 14:00:00,0.369,6.3
2026-02-25 14:05:00,0.369,6.3
2026-02-25 14:10:00,0.369,6.3
2026-02-25 14:15:00,0.369,6.2
2026-02-25 14:20:00,0.369,6.2
2026-02-25 14:25:00,0.369,6.2
2026-02-25 14:30:00,0.369,6.1
2026-02-25 14:35:00,0.369,6.1
2026-02-25 14:40:00,0.369,6.0
2026-02-25 14:45:00,0.369,6.0
2026-02-25 14:50:00,0.37,6.0
2026-02-25 14:55:00,0.37,6.0
2026-02-25 15:00:00,0.36968977,5.9
2026-02-25 15:05:00,0.3695734,5.9
2026-02-25 15:10:00,0.36980614,5.84
2026-02-25 15:15:00,0.36961219,5.8
2026-02-25 15:20:00,0.36953461,5.8
2026-02-25 15:25:00,0.36968977,5.74
2026-02-25 15:30:00,0.36972856,5.7
2026-02-25 15:35:00,0.36968977,5.7
2026-02-25 15:40:00,0.36972856,5.68
2026-02-25 15:45:00,0.36976735,5.6
2026-02-25 15:50:00,0.37003888,5.6
2026-02-25 15:55:00,0.36984493,5.6
2026-02-25 16:00:00,0.36972856,5.52
2026-02-25 16:05:00,0.36992251,5.5
2026-02-25 16:10:00,0.36976735,5.5
2026-02-25 16:15:00,0.36972856,5.46
2026-02-25 16:20:00,0.3699613,5.4
2026-02-25 16:25:00,0.36992251,5.4
2026-02-25 16:30:00,0.36988372,5.4
2026-02-25 16:35:00,0.36965098,5.34
2026-02-25 16:40:00,0.37011646,5.3
2026-02-25 16:45:00,0.36984493,5.3
2026-02-25 16:50:00,0.36992251,5.3
2026-02-25 16:55:00,0.37003888,5.24
2026-02-25 17:00:00,0.37000009,5.2
2026-02-25 17:05:00,0.37000009,5.2
2026-02-25 17:10:00,0.36992251,5.2
2026-02-25 17:15:00,0.37015525,5.2
2026-02-25 17:20:00,0.36984493,5.1
2026-02-25 17:25:00,0.37011646,5.1
2026-02-25 17:30:00,0.37023283,5.1
2026-02-25 17:35:00,0.36984493,5.1
2026-02-25 17:40:00,0.3699613,5.0
2026-02-25 17:45:00,0.37007767,5.0
2026-02-25 17:50:00,0.36992251,5.0
2026-02-25 17:55:00,0.37000009,5.0
2026-02-25 18:00:00,0.36988372,4.96
2026-02-25 18:05:00,0.36992251,4.9
2026-02-25 18:10:00,0.37027162,4.9
2026-02-25 18:15:00,0.36988372,4.9
2026-02-25 18:20:00,0.37019404,4.9
2026-02-25 18:25:00,0.3699613,4.86
2026-02-25 18:30:00,0.37019404,4.8
2026-02-25 18:35:00,0.37023283,4.8
2026-02-25 18:40:00,0.37015525,4.8
2026-02-25 18:45:00,0.36988372,4.8
2026-02-25 18:50:00,0.37031041,4.72
2026-02-25 18:55:00,0.37015525,4.7
2026-02-25 19:00:00,0.37015525,4.7
2026-02-25 19:05:00,0.37011646,4.7
2026-02-25 19:10:00,0.37019404,4.7
2026-02-25 19:15:00,0.37015525,4.64
2026-02-25 19:20:00,0.37015525,4.6
2026-02-25 19:25:00,0.37023283,4.6
2026-02-25 19:30:00,0.3699613,4.6
2026-02-25 19:35:00,0.36988372,4.6
2026-02-25 19:40:00,0.37015525,4.6
2026-02-25 19:45:00,0.37011646,4.54
2026-02-25 19:50:00,0.37015525,4.5
2026-02-25 19:55:00,0.37031041,4.5
2026-02-25 20:00:00,0.37011646,4.5
2026-02-25 20:05:00,0.3699613,4.5
2026-02-25 20:10:00,0.37019404,4.5
2026-02-25 20:15:00,0.37015525,4.44
2026-02-25 20:20:00,0.37011646,4.4
2026-02-25 20:25:00,0.37023283,4.4
2026-02-25 20:30:00,0.37023283,4.4
2026-02-25 20:35:00,0.37019404,4.4
2026-02-25 20:40:00,0.37019404,4.4
2026-02-25 20:45:00,0.37003888,4.3
2026-02-25 20:50:00,0.37000009,4.3
2026-02-25 20:55:00,0.3699613,4.3
2026-02-25 21:00:00,0.37015525,4.3
2026-02-25 21:05:00,0.36992251,4.3
2026-02-25 21:10:00,0.37003888,4.3
2026-02-25 21:15:00,0.37023283,4.24
2026-02-25 21:20:00,0.36984493,4.2
2026-02-25 21:25:00,0.37023283,4.2
2026-02-25 21:30:00,0.37007767,4.2
2026-02-25 21:35:00,0.37023283,4.2
2026-02-25 21:40:00,0.3699613,4.2
2026-02-25 21:45:00,0.37003888,4.2
2026-02-25 21:50:00,0.37011646,4.14
2026-02-25 21:55:00,0.37011646,4.1
2026-02-25 22:00:00,0.36980614,4.1
2026-02-25 22:05:00,0.36992251,4.1
2026-02-25 22:10:00,0.37000009,4.1
2026-02-25 22:15:00,0.36980614,4.1
2026-02-25 22:20:00,0.37019404,4.1
2026-02-25 22:25:00,0.37003888,4.02
2026-02-25 22:30:00,0.37011646,4.0
2026-02-25 22:35:00,0.3699613,4.0
2026-02-25 22:40:00,0.37031041,4.0
2026-02-25 22:45:00,0.36992251,4.0
2026-02-25 22:50:00,0.37027162,4.0
2026-02-25 22:55:00,0.37011646,4.0
2026-02-25 23:00:00,0.37019404,3.98
2026-02-25 23:05:00,0.37007767,3.9
2026-02-25 23:10:00,0.37000009,3.9
2026-02-25 23:15:00,0.37003888,3.9
2026-02-25 23:20:00,0.37000009,3.9
2026-02-25 23:25:00,0.3699613,3.9
2026-02-25 23:30:00,0.36992251,3.9
2026-02-25 23:35:00,0.37015525,3.9
2026-02-25 23:40:00,0.37000009,3.88
2026-02-25 23:45:00,0.37000009,3.8
2026-02-25 23:50:00,0.36992251,3.8
2026-02-25 23:55:00,0.37011646,3.8
2026-02-26 00:00:00,0.36980614,3.8
2026-02-26 00:05:00,0.3699613,3.8
2026-02-26 00:10:00,0.36984493,3.8
2026-02-26 00:15:00,0.36980614,3.8
2026-02-26 00:20:00,0.3699613,3.8
2026-02-26 00:25:00,0.37003888,3.7
2026-02-26 00:30:00,0.37019404,3.7
2026-02-26 00:35:00,0.37023283,3.7
