time,sm_bank_20cm,sm_irr_10cm,temp_bank_20cm,temp_irr_10cm
2026-02-20 08:00:00,0.304,0.353,7.3,8.4
2026-02-20 08:05:00,0.304,0.353,7.0,8.0
2026-02-20 08:10:00,0.304,0.353,6.7,7.8
2026-02-20 08:15:00,0.304,0.353,6.6,7.7
2026-02-20 08:20:00,0.304,0.353,6.5,7.6
2026-02-20 08:25:00,0.304,0.353,6.4,7.5
2026-02-20 08:30:00,0.304,0.353,6.4,7.5
2026-02-20 08:35:00,0.304,0.353,6.3,7.4
2026-02-20 08:40:00,0.304,0.353,6.3,7.4
2026-02-20 08:45:00,0.305,0.352,6.3,7.3
2026-02-20 08:50:00,0.304,0.352,6.2,7.3
2026-02-20 08:55:00,0.304,0.352,6.2,7.3
2026-02-20 09:00:00,0.305,0.352,6.2,7.2
2026-02-20 09:05:00,0.305,0.352,6.2,7.2
2026-02-20 09:10:00,0.305,0.352,6.1,7.2
2026-02-20 09:15:00,0.305,0.352,6.1,7.1
2026-02-20 09:20:00,0.305,0.352,6.1,7.1
2026-02-20 09:25:00,0.305,0.352,6.0,7.1
2026-02-20 09:30:00,0.305,0.352,6.0,7.0
2026-02-20 09:35:00,0.305,0.352,6.0,7.0
2026-02-20 09:40:00,0.305,0.352,5.9,7.0
2026-02-20 09:45:00,0.305,0.352,5.9,6.9
2026-02-20 09:50:00,0.305,0.352,5.9,6.9
2026-02-20 09:55:00,0.305,0.352,5.8,6.9
2026-02-20 10:00:00,0.305,0.352,5.8,6.8
2026-02-20 10:05:00,0.305,0.352,5.8,6.8
2026-02-20 10:10:00,0.305,0.352,5.7,6.8
2026-02-20 10:15:00,0.305,0.352,5.7,6.7
2026-02-20 10:20:00,0.305,0.352,5.6,6.7
2026-02-20 10:25:00,0.305,0.352,5.6,6.6
2026-02-20 10:30:00,0.305,0.352,5.5,6.6
2026-02-20 10:35:00,0.305,0.352,5.5,6.5
2026-02-20 10:40:00,0.305,0.352,5.5,6.5
2026-02-20 10:45:00,0.305,0.352,5.4,6.5
2026-02-20 10:50:00,0.305,0.352,5.4,6.4
2026-02-20 10:55:00,0.306,0.351,5.3,6.4
2026-02-20 11:00:00,0.306,0.351,5.3,6.3
2026-02-20 11:05:00,0.305,0.351,5.2,6.3
2026-02-20 11:10:00,0.306,0.351,5.2,6.2
