time,sm_root_10cm,sm_tree_above,temp_root_10cm,temp_tree_above
2026-02-20 14:30:00,0.244,0.317,5.8,7.0
2026-02-20 14:35:00,0.244,0.318,5.8,7.0
2026-02-20 14:40:00,0.244,0.318,5.8,6.9
2026-02-20 14:45:00,0.244,0.318,5.8,6.8
2026-02-20 14:50:00,0.244,0.318,5.8,6.7
2026-02-20 14:55:00,0.244,0.318,5.8,6.6
2026-02-20 15:00:00,0.244,0.318,5.8,6.5
2026-02-20 15:05:00,0.244,0.318,5.8,6.4
2026-02-20 15:10:00,0.244,0.318,5.8,6.3
2026-02-20 15:15:00,0.244,0.318,5.8,6.3
2026-02-20 15:20:00,0.244,0.318,5.8,6.2
2026-02-20 15:25:00,0.244,0.318,5.8,6.2
2026-02-20 15:30:00,0.244,0.318,5.8,6.2
2026-02-20 15:35:00,0.244,0.319,5.8,6.2
2026-02-20 15:40:00,0.244,0.318,5.8,6.2
2026-02-20 15:45:00,0.244,0.319,5.8,6.2
2026-02-20 15:50:00,0.244,0.319,5.8,6.2
2026-02-20 15:55:00,0.244,0.319,5.8,6.1
2026-02-20 16:00:00,0.244,0.319,5.8,6.0
2026-02-20 16:05:00,0.244,0.319,5.7,5.9
2026-02-20 16:10:00,0.244,0.319,5.7,5.8
2026-02-20 16:15:00,0.244,0.319,5.7,5.8
2026-02-20 16:20:00,0.244,0.319,5.7,5.7
2026-02-20 16:25:00,0.244,0.319,5.7,5.7
2026-02-20 16:30:00,0.244,0.319,5.7,5.7
2026-02-20 16:35:00,0.244,0.319,5.7,5.7
2026-02-20 16:40:00,0.244,0.319,5.7,5.8
2026-02-20 16:45:00,0.244,0.32,5.7,5.8
2026-02-20 16:50:00,0.244,0.319,5.7,5.8
2026-02-20 16:55:00,0.244,0.319,5.7,5.7
2026-02-20 17:00:00,0.244,0.319,5.7,5.6
2026-02-20 17:05:00,0.244,0.32,5.7,5.5
2026-02-20 17:10:00,0.244,0.32,5.7,5.4
2026-02-20 17:15:00,0.244,0.32,5.7,5.4
2026-02-20 17:20:00,0.244,0.32,5.7,5.4
2026-02-20 17:25:00,0.244,0.32,5.7,5.2
2026-02-20 17:30:00,0.244,0.32,5.7,5.1
2026-02-20 17:35:00,0.244,0.32,5.7,5.2
2026-02-20 17:40:00,0.244,0.32,5.7,5.1
2026-02-20 17:45:00,0.244,0.32,5.7,4.9
2026-02-20 17:50:00,0.244,0.32,5.7,4.7
2026-02-20 17:55:00,0.244,0.32,5.7,4.6
2026-02-20 18:00:00,0.244,0.32,5.7,4.8
2026-02-20 18:05:00,0.244,0.32,5.7,4.9
2026-02-20 18:10:00,0.244,0.32,5.7,5.0
2026-02-20 18:15:00,0.244,0.32,5.7,4.8
2026-02-20 18:20:00,0.243,0.32,5.7,4.7
2026-02-20 18:25:00,0.243,0.32,5.7,4.6
2026-02-20 18:30:00,0.243,0.32,5.7,4.5
2026-02-20 18:35:00,0.244,0.32,5.7,4.6
2026-02-20 18:40:00,0.243,0.32,5.7,4.7
2026-02-20 18:45:00,0.244,0.32,5.7,4.8
2026-02-20 18:50:00,0.243,0.32,5.7,4.7
2026-02-20 18:55:00,0.243,0.32,5.7,4.6
2026-02-20 19:00:00,0.244,0.321,5.7,4.6
2026-02-20 19:05:00,0.243,0.32,5.7,4.4
2026-02-20 19:10:00,0.244,0.321,5.7,4.4
2026-02-20 19:15:00,0.243,0.321,5.7,4.2
2026-02-20 19:20:00,0.243,0.321,5.7,4.1
2026-02-20 19:25:00,0.243,0.321,5.7,4.1
2026-02-20 19:30:00,0.243,0.321,5.7,4.0
2026-02-20 19:35:00,0.243,0.321,5.7,4.0
2026-02-20 19:40:00,0.244,0.321,5.7,3.8
2026-02-20 19:45:00,0.243,0.321,5.7,3.6
2026-02-20 19:50:00,0.243,0.321,5.7,3.7
2026-02-20 19:55:00,0.243,0.321,5.7,3.7
2026-02-20 20:00:00,0.244,0.321,5.7,3.6
2026-02-20 20:05:00,0.243,0.321,5.7,3.7
2026-02-20 20:10:00,0.243,0.321,5.7,3.8
2026-02-20 20:15:00,0.243,0.321,5.7,3.7
2026-02-20 20:20:00,0.243,0.321,5.7,3.5
2026-02-20 20:25:00,0.243,0.321,5.7,3.4
2026-02-20 20:30:00,0.243,0.321,5.7,3.3
2026-02-20 20:35:00,0.243,0.321,5.7,3.3
2026-02-20 20:40:00,0.243,0.321,5.7,3.3
2026-02-20 20:45:00,0.243,0.321,5.7,3.3
2026-02-20 20:50:00,0.243,0.321,5.7,3.4
2026-02-20 20:55:00,0.243,0.321,5.7,3.5
2026-02-20 21:00:00,0.243,0.321,5.6,3.6
2026-02-20 21:05:00,0.243,0.321,5.6,3.7
2026-02-20 21:10:00,0.243,0.321,5.6,3.7
2026-02-20 21:15:00,0.243,0.321,5.6,3.7
2026-02-20 21:20:00,0.243,0.321,5.6,3.7
2026-02-20 21:25:00,0.243,0.321,5.6,3.6
2026-02-20 21:30:00,0.243,0.321,5.6,3.4
2026-02-20 21:35:00,0.243,0.321,5.6,3.2
2026-02-20 21:40:00,0.243,0.321,5.6,3.0
2026-02-20 21:45:00,0.243,0.321,5.6,2.9
2026-02-20 21:50:00,0.243,0.321,5.6,2.8
2026-02-20 21:55:00,0.243,0.321,5.6,2.8
2026-02-20 22:00:00,0.244,0.321,5.6,2.8
2026-02-20 22:05:00,0.243,0.321,5.6,2.8
2026-02-20 22:10:00,0.243,0.322,5.6,2.6
2026-02-20 22:15:00,0.243,0.321,5.6,2.6
2026-02-20 22:20:00,0.243,0.322,5.6,2.6
2026-02-20 22:25:00,0.243,0.321,5.6,2.6
2026-02-20 22:30:00,0.243,0.321,5.6,2.5
2026-02-20 22:35:00,0.243,0.321,5.6,2.4
2026-02-20 22:40:00,0.243,0.321,5.6,2.6
2026-02-20 22:45:00,0.243,0.321,5.6,2.9
2026-02-20 22:50:00,0.243,0.321,5.6,3.1
2026-02-20 22:55:00,0.243,0.321,5.6,3.2
2026-02-20 23:00:00,0.243,0.322,5.6,3.3
2026-02-20 23:05:00,0.243,0.321,5.6,3.3
2026-02-20 23:10:00,0.243,0.321,5.6,3.3
2026-02-20 23:15:00,0.243,0.321,5.6,3.3
2026-02-20 23:20:00,0.243,0.321,5.6,3.3
2026-02-20 23:25:00,0.243,0.321,5.6,3.3
2026-02-20 23:30:00,0.243,0.321,5.6,3.4
2026-02-20 23:35:00,0.243,0.321,5.6,3.5
2026-02-20 23:40:00,0.243,0.321,5.5,3.6
2026-02-20 23:45:00,0.243,0.321,5.5,3.6
2026-02-20 23:50:00,0.243,0.321,5.5,3.7
2026-02-20 23:55:00,0.243,0.321,5.5,3.7
2026-02-21 00:00:00,0.243,0.321,5.5,3.8
2026-02-21 00:05:00,0.243,0.321,5.5,4.0
2026-02-21 00:10:00,0.243,0.321,5.5,4.1
2026-02-21 00:15:00,0.243,0.321,5.5,4.3
2026-02-21 00:20:00,0.243,0.321,5.5,4.4
2026-02-21 00:25:00,0.243,0.321,5.5,4.6
2026-02-21 00:30:00,0.243,0.321,5.5,4.8
2026-02-21 00:35:00,0.243,0.321,5.5,5.0
2026-02-21 00:40:00,0.243,0.321,5.5,5.3
2026-02-21 00:45:00,0.243,0.321,5.5,5.6
2026-02-21 00:50:00,0.243,0.32,5.5,5.8
2026-02-21 00:55:00,0.243,0.32,5.5,6.0
2026-02-21 01:00:00,0.243,0.321,5.5,6.2
2026-02-21 01:05:00,0.243,0.321,5.5,6.5
2026-02-21 01:10:00,0.243,0.32,5.5,6.7
2026-02-21 01:15:00,0.243,0.32,5.5,6.9
2026-02-21 01:20:00,0.243,0.321,5.5,7.3
2026-02-21 01:25:00,0.243,0.32,5.5,7.8
2026-02-21 01:30:00,0.243,0.32,5.5,8.3
2026-02-21 01:35:00,0.243,0.32,5.5,9.0
2026-02-21 01:40:00,0.243,0.32,5.5,9.5
2026-02-21 01:45:00,0.243,0.319,5.5,10.1
2026-02-21 01:50:00,0.243,0.319,5.5,10.8
2026-02-21 01:55:00,0.243,0.319,5.5,11.1
2026-02-21 02:00:00,0.243,0.319,5.5,11.3
2026-02-21 02:05:00,0.243,0.319,5.5,11.6
2026-02-21 02:10:00,0.243,0.319,5.5,11.9
2026-02-21 02:15:00,0.243,0.319,5.5,12.3
2026-02-21 02:20:00,0.243,0.319,5.5,12.4
2026-02-21 02:25:00,0.243,0.319,5.5,12.6
2026-02-21 02:30:00,0.243,0.319,5.5,12.8
2026-02-21 02:35:00,0.243,0.319,5.5,13.0
2026-02-21 02:40:00,0.243,0.319,5.5,13.1
2026-02-21 02:45:00,0.243,0.319,5.5,13.2
2026-02-21 02:50:00,0.243,0.319,5.5,13.3
2026-02-21 02:55:00,0.243,0.319,5.5,13.4
2026-02-21 03:00:00,0.243,0.319,5.5,13.5
2026-02-21 03:05:00,0.243,0.319,5.5,13.6
2026-02-21 03:10:00,0.243,0.319,5.5,13.7
2026-02-21 03:15:00,0.243,0.319,5.5,13.8
2026-02-21 03:20:00,0.243,0.319,5.5,13.8
2026-02-21 03:25:00,0.243,0.319,5.5,14.0
2026-02-21 03:30:00,0.243,0.319,5.5,14.0
2026-02-21 03:35:00,0.243,0.319,5.6,14.1
2026-02-21 03:40:00,0.243,0.319,5.6,14.3
2026-02-21 03:45:00,0.243,0.319,5.6,14.4
2026-02-21 03:50:00,0.243,0.319,5.6,14.5
2026-02-21 03:55:00,0.243,0.319,5.6,14.7
2026-02-21 04:00:00,0.243,0.319,5.6,14.8
