time,sm_root_10cm,sm_tree_above,temp_root_10cm,temp_tree_above
2026-02-25 04:45:00,0.422,0.326,6.3,10.3
2026-02-25 04:50:00,0.422,0.326,6.4,10.4
2026-02-25 04:55:00,0.421,0.327,6.5,10.4
2026-02-25 05:00:00,0.422,0.327,6.7,10.4
2026-02-25 05:05:00,0.421,0.328,6.9,10.4
2026-02-25 05:10:00,0.421,0.328,7.0,10.4
2026-02-25 05:15:00,0.421,0.329,7.1,10.4
2026-02-25 05:20:00,0.421,0.329,7.2,10.5
2026-02-25 05:25:00,0.421,0.329,7.3,10.4
2026-02-25 05:30:00,0.42,0.329,7.4,10.2
2026-02-25 05:35:00,0.42,0.329,7.5,10.3
2026-02-25 05:40:00,0.42,0.33,7.6,10.2
2026-02-25 05:45:00,0.42,0.33,7.6,10.1
2026-02-25 05:50:00,0.42,0.33,7.7,10.1
2026-02-25 05:55:00,0.42,0.33,7.7,10.0
2026-02-25 06:00:00,0.42,0.33,7.7,10.0
2026-02-25 06:05:00,0.42,0.33,7.7,10.0
2026-02-25 06:10:00,0.42,0.33,7.8,10.1
2026-02-25 06:15:00,0.42,0.33,7.8,10.4
2026-02-25 06:20:00,0.42,0.33,7.8,10.6
2026-02-25 06:25:00,0.42,0.33,7.8,10.8
2026-02-25 06:30:00,0.42,0.331,7.9,10.9
2026-02-25 06:35:00,0.42,0.331,7.9,10.9
2026-02-25 06:40:00,0.42,0.331,7.9,11.0
2026-02-25 06:45:00,0.42,0.331,8.0,11.0
2026-02-25 06:50:00,0.42,0.331,8.0,11.0
2026-02-25 06:55:00,0.42,0.331,8.0,11.0
2026-02-25 07:00:00,0.42,0.331,8.1,10.9
2026-02-25 07:05:00,0.42,0.331,8.1,10.8
2026-02-25 07:10:00,0.42,0.332,8.1,10.7
2026-02-25 07:15:00,0.42,0.332,8.2,10.5
2026-02-25 07:20:00,0.419,0.332,8.2,10.4
2026-02-25 07:25:00,0.42,0.332,8.2,10.4
2026-02-25 07:30:00,0.42,0.332,8.2,10.5
2026-02-25 07:35:00,0.419,0.332,8.2,10.6
2026-02-25 07:40:00,0.419,0.332,8.2,10.6
2026-02-25 07:45:00,0.42,0.332,8.2,10.7
2026-02-25 07:50:00,0.419,0.332,8.2,10.8
2026-02-25 07:55:00,0.42,0.332,8.1,10.9
2026-02-25 08:00:00,0.42,0.332,8.1,10.9
2026-02-25 08:05:00,0.42,0.332,8.1,10.9
2026-02-25 08:10:00,0.419,0.332,8.1,10.8
2026-02-25 08:15:00,0.42,0.332,8.1,10.7
2026-02-25 08:20:00,0.42,0.332,8.1,10.6
2026-02-25 08:25:00,0.419,0.332,8.1,10.4
2026-02-25 08:30:00,0.42,0.332,8.0,10.3
2026-02-25 08:35:00,0.42,0.332,8.0,10.1
2026-02-25 08:40:00,0.42,0.332,8.0,10.0
2026-02-25 08:45:00,0.419,0.332,8.0,9.8
2026-02-25 08:50:00,0.42,0.332,8.0,9.6
2026-02-25 08:55:00,0.42,0.332,7.9,9.5
2026-02-25 09:00:00,0.419,0.332,7.9,9.4
2026-02-25 09:05:00,0.42,0.332,7.9,9.2
2026-02-25 09:10:00,0.42,0.332,7.8,9.0
2026-02-25 09:15:00,0.42,0.332,7.8,8.9
2026-02-25 09:20:00,0.42,0.332,7.8,8.7
2026-02-25 09:25:00,0.42,0.332,7.7,8.6
2026-02-25 09:30:00,0.42,0.332,7.7,8.5
2026-02-25 09:35:00,0.42,0.332,7.7,8.3
2026-02-25 09:40:00,0.42,0.332,7.6,8.2
2026-02-25 09:45:00,0.42,0.332,7.6,8.1
2026-02-25 09:50:00,0.42,0.332,7.5,7.9
2026-02-25 09:55:00,0.419,0.332,7.5,7.8
2026-02-25 10:00:00,0.42,0.332,7.5,7.7
2026-02-25 10:05:00,0.42,0.332,7.4,7.6
2026-02-25 10:10:00,0.42,0.332,7.4,7.5
2026-02-25 10:15:00,0.42,0.332,7.3,7.4
2026-02-25 10:20:00,0.42,0.332,7.3,7.3
2026-02-25 10:25:00,0.42,0.332,7.3,7.2
2026-02-25 10:30:00,0.42,0.332,7.2,7.2
2026-02-25 10:35:00,0.42,0.332,7.2,7.1
2026-02-25 10:40:00,0.42,0.332,7.1,7.0
2026-02-25 10:45:00,0.42,0.332,7.1,7.0
2026-02-25 10:50:00,0.42,0.332,7.1,6.9
2026-02-25 10:55:00,0.42,0.332,7.0,6.9
2026-02-25 11:00:00,0.42,0.332,7.0,6.7
2026-02-25 11:05:00,0.42,0.332,6.9,6.6
2026-02-25 11:10:00,0.42,0.332,6.9,6.5
2026-02-25 11:15:00,0.42,0.332,6.9,6.4
2026-02-25 11:20:00,0.42,0.332,6.8,6.2
2026-02-25 11:25:00,0.421,0.332,6.8,6.0
2026-02-25 11:30:00,0.421,0.332,6.8,5.9
2026-02-25 11:35:00,0.42,0.332,6.7,5.9
2026-02-25 11:40:00,0.42,0.332,6.7,5.9
2026-02-25 11:45:00,0.42,0.332,6.6,5.8
2026-02-25 11:50:00,0.42,0.332,6.6,5.7
2026-02-25 11:55:00,0.421,0.332,6.6,5.6
2026-02-25 12:00:00,0.421,0.332,6.5,5.5
2026-02-25 12:05:00,0.42,0.332,6.5,5.5
2026-02-25 12:10:00,0.42,0.332,6.5,5.3
2026-02-25 12:15:00,0.421,0.332,6.4,5.2
2026-02-25 12:20:00,0.421,0.332,6.4,5.1
2026-02-25 12:25:00,0.421,0.332,6.4,5.1
2026-02-25 12:30:00,0.421,0.332,6.3,5.0
2026-02-25 12:35:00,0.421,0.332,6.3,5.0
2026-02-25 12:40:00,0.421,0.332,6.3,5.0
2026-02-25 12:45:00,0.421,0.332,6.2,4.9
2026-02-25 12:50:00,0.421,0.332,6.2,4.9
2026-02-25 12:55:00,0.421,0.332,6.2,4.8
2026-02-25 13:00:00,0.421,0.332,6.2,4.7
2026-02-25 13:05:00,0.421,0.332,6.1,4.6
2026-02-25 13:10:00,0.421,0.332,6.1,4.6
2026-02-25 13:15:00,0.422,0.332,6.1,4.5
2026-02-25 13:20:00,0.421,0.332,6.0,4.4
2026-02-25 13:25:00,0.421,0.332,6.0,4.3
2026-02-25 13:30:00,0.421,0.332,6.0,4.3
2026-02-25 13:35:00,0.421,0.332,5.9,4.2
2026-02-25 13:40:00,0.421,0.332,5.9,4.1
2026-02-25 13:45:00,0.421,0.332,5.9,4.0
2026-02-25 13:50:00,0.421,0.332,5.9,3.9
2026-02-25 13:55:00,0.422,0.332,5.8,3.8
2026-02-25 14:00:00,0.421,0.332,5.8,3.7
2026-02-25 14:05:00,0.421,0.332,5.8,3.8
2026-02-25 14:10:00,0.421,0.332,5.7,3.8
2026-02-25 14:15:00,0.421,0.332,5.7,3.7
2026-02-25 14:20:00,0.422,0.332,5.7,3.6
2026-02-25 14:25:00,0.422,0.332,5.6,3.5
2026-02-25 14:30:00,0.422,0.332,5.6,3.4
2026-02-25 14:35:00,0.422,0.332,5.6,3.4
2026-02-25 14:40:00,0.422,0.332,5.6,3.3
2026-02-25 14:45:00,0.422,0.332,5.5,3.2
2026-02-25 14:50:00,0.422,0.332,5.5,3.1
2026-02-25 14:55:00,0.422,0.332,5.5,3.1
2026-02-25 15:00:00,0.42186232,0.33206347,5.44,3.1
2026-02-25 15:05:00,0.42151321,0.33225742,5.4,3.02
2026-02-25 15:10:00,0.42217264,0.33249016,5.4,2.9
2026-02-25 15:15:00,0.42178474,0.33221863,5.4,2.84
2026-02-25 15:20:00,0.42186232,0.33214105,5.32,2.78
2026-02-25 15:25:00,0.42178474,0.33229621,5.3,2.7
2026-02-25 15:30:00,0.42267691,0.33217984,5.3,2.7
2026-02-25 15:35:00,0.42197869,0.33229621,5.3,2.7
2026-02-25 15:40:00,0.42228901,0.33229621,5.2,2.7
2026-02-25 15:45:00,0.42236659,0.33229621,5.2,2.7
2026-02-25 15:50:00,0.42213385,0.33225742,5.2,2.68
2026-02-25 15:55:00,0.42225022,0.33229621,5.2,2.6
2026-02-25 16:00:00,0.42225022,0.33221863,5.16,2.58
2026-02-25 16:05:00,0.42244417,0.33221863,5.1,2.5
