date,time,source,product,file,n,s,e,w,resolution_m,description
2025-11-25,20:46:10,nisar,lia,HP_SAT_LIA_20251125_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,Local Incidence Angle (degrees)
2025-11-25,20:46:10,nisar,sm,HP_SAT_SM_20251125_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR LSAR SME2 soil moisture beta (m³/m³)
2025-11-29,02:05:57,landsat,lst,HP_SAT_LST_20251129_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2025-11-29,02:05:57,hls,ndvi,HP_SAT_NDVI_20251129_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-11-29,02:21:31,hls,ndvi,HP_SAT_NDVI_20251129_0221.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-12-01,10:26:43,nisar,gist_sm,HP_SAT_GIST_SM_20251201_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,GIST soil moisture beta product (m³/m³)
2025-12-01,10:26:43,nisar,hh,HP_SAT_HH_20251201_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR sigma0 backscatter HH polarization (linear)
2025-12-01,10:26:43,nisar,hv,HP_SAT_HV_20251201_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR sigma0 backscatter HV polarization (linear)
2025-12-01,10:26:43,nisar,lia,HP_SAT_LIA_20251201_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,Local Incidence Angle (degrees)
2025-12-01,10:26:43,nisar,sm,HP_SAT_SM_20251201_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR LSAR SME2 soil moisture beta (m³/m³)
2025-12-02,02:19:49,hls,ndvi,HP_SAT_NDVI_20251202_0219.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-12-03,00:00:00,modis,ndvi,HP_SAT_NDVI_20251203_0000.png,35.026379,35.00377,126.563992,126.537668,500.0,MODIS Terra MOD13A1 16-day NDVI composite
2025-12-03,13:00:00,modis,lst,HP_SAT_LST_20251203_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2025-12-06,02:11:42,hls,ndvi,HP_SAT_NDVI_20251206_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2025-12-06,02:12:06,landsat,lst,HP_SAT_LST_20251206_0212.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2025-12-07,20:46:10,nisar,gist_sm,HP_SAT_GIST_SM_20251207_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,GIST soil moisture beta product (m³/m³)
2025-12-07,20:46:10,nisar,hh,HP_SAT_HH_20251207_2046.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR sigma0 backscatter HH polarization (linear)
